Country,Year,SST_C,Salinity_ppt,Chlorophyll_mg_m3,pH,Fleet_Size,Fishing_Effort_hours,Fuel_Consumption_L,Fish_Price_USD_ton,Fuel_Price_USD_L,Operating_Cost_USD,Capture_Production_Mt,Aquaculture_Production_Mt,Total_Production_Mt,CPUE,Sustainability_Score,Sustainable
South Korea,2022,26.16,38.18,1.603,8.23,6661,51030.0,995100.0,1932.7,1.04,1030966.0,1.387,2.282,3.669,0.0272,0.524,1
Russia,2019,22.35,36.97,1.606,8.11,90548,33065.0,1250842.0,3218.24,0.97,1280508.0,3.886,4.946,8.832,0.1175,0.637,1
Argentina,2017,22.92,34.38,0.478,8.19,625,5696.0,117555.0,829.47,0.8,128892.0,0.992,0.897,1.888,0.1741,0.6,1
Chile,2010,14.43,36.36,0.884,8.23,9608,25619.0,340984.0,1177.35,1.51,559082.0,1.555,2.614,4.17,0.0607,0.576,1
Mexico,2010,16.15,33.77,4.205,8.15,18935,27411.0,859974.0,860.76,1.3,1168273.0,0.745,1.179,1.924,0.0272,0.571,1
Philippines,2019,18.3,33.7,0.428,7.91,4913,17019.0,685533.0,1095.74,1.07,810531.0,1.013,2.409,3.422,0.0595,0.593,1
Thailand,2014,21.54,35.83,3.827,7.58,1115,39884.0,1683196.0,2011.04,1.27,2203778.0,0.602,0.746,1.347,0.0151,0.621,1
Iceland,2023,23.26,34.09,0.131,8.49,2008,37602.0,1163556.0,1779.9,1.39,1695914.0,1.923,1.638,3.561,0.0511,0.522,1
Peru,2011,21.28,32.7,0.548,7.74,11753,2503.0,83566.0,3029.25,1.68,174428.0,3.357,6.142,9.499,1.3409,0.735,1
India,2012,22.38,35.71,1.852,7.99,436,5993.0,67558.0,2543.92,1.91,195059.0,7.153,9.297,16.45,1.1932,0.724,1
Chile,2019,20.56,33.6,1.239,8.08,2139,40707.0,707530.0,1601.59,1.04,758310.0,3.776,5.666,9.442,0.0928,0.621,1
Malaysia,2017,24.0,33.43,1.603,8.23,515,4192.0,59503.0,745.8,1.37,155481.0,1.635,2.7,4.335,0.3899,0.703,1
Spain,2022,23.12,37.11,1.923,7.93,2966,236648.0,9422753.0,1821.23,0.89,8421383.0,1.994,2.511,4.505,0.0084,0.5,1
Indonesia,2020,22.14,35.25,0.697,8.05,1499,11778.0,193484.0,815.5,0.94,233000.0,22.176,45.46,67.635,1.8826,0.733,1
Russia,2011,17.85,34.98,1.571,8.26,6975,29319.0,852141.0,2674.6,1.07,972332.0,3.265,4.44,7.705,0.1114,0.57,1
Ecuador,2010,31.23,35.53,0.808,8.13,9380,22266.0,508228.0,461.84,1.57,890536.0,0.835,1.095,1.93,0.0375,0.582,1
Japan,2011,12.28,34.86,0.359,8.36,5983,12585.0,595489.0,2327.41,1.4,880157.0,1.341,1.608,2.949,0.1066,0.528,1
Japan,2020,19.56,34.13,1.484,8.02,4603,175501.0,4274018.0,958.05,1.48,6388858.0,3.803,5.134,8.937,0.0217,0.501,1
Russia,2010,28.51,31.84,1.016,8.05,10246,53767.0,1880198.0,1150.34,0.76,1495102.0,1.497,4.313,5.811,0.0279,0.518,1
China,2013,26.14,37.02,0.608,8.18,8006,8874.0,264073.0,895.03,1.28,342632.0,51.106,76.541,127.647,5.7586,0.78,1
Mexico,2022,25.38,29.85,0.68,8.37,59812,45166.0,1945385.0,2401.38,1.17,2325642.0,1.813,2.506,4.318,0.0401,0.611,1
Malaysia,2020,22.9,40.29,0.816,8.11,43184,39746.0,1864105.0,738.6,1.34,2588227.0,0.857,1.456,2.313,0.0216,0.621,1
Japan,2018,28.73,33.02,0.882,8.11,15387,4054.0,49424.0,2356.13,1.52,113533.0,2.021,4.001,6.021,0.4983,0.632,1
Ecuador,2018,21.67,36.61,2.318,8.09,1532,23924.0,1112725.0,1388.31,0.74,895385.0,2.18,2.298,4.478,0.0911,0.655,1
Iceland,2014,18.51,34.93,1.536,8.32,3881,5770.0,126840.0,1181.39,0.94,136830.0,1.215,2.169,3.384,0.2105,0.695,1
Spain,2022,23.52,37.33,2.829,7.9,114093,154776.0,4526188.0,2430.52,1.19,5451115.0,1.319,2.655,3.974,0.0085,0.5,1
Philippines,2019,18.42,37.83,1.133,8.05,13855,4348.0,77588.0,1300.49,1.97,205939.0,2.439,3.717,6.155,0.5608,0.708,1
Morocco,2010,26.31,36.25,1.013,8.11,235,8951.0,120626.0,2168.04,1.43,229220.0,1.023,1.779,2.802,0.1143,0.611,1
Peru,2013,26.35,34.08,2.97,8.34,1091,56938.0,1069317.0,915.53,1.25,1367046.0,5.433,5.891,11.324,0.0954,0.514,1
Spain,2011,23.54,31.58,0.26,8.25,3851,18325.0,904812.0,575.81,1.23,1130549.0,0.25,0.47,0.72,0.0136,0.589,1
Thailand,2016,24.76,34.15,0.524,8.28,753,44874.0,1335954.0,563.2,1.56,2133691.0,0.59,1.039,1.629,0.0131,0.611,1
Malaysia,2011,20.26,35.4,0.238,8.22,303,9913.0,240151.0,673.21,1.52,395104.0,0.429,0.965,1.394,0.0433,0.606,1
Peru,2017,35.16,33.85,1.13,8.61,2580,69513.0,991533.0,771.56,1.25,1286639.0,4.157,9.428,13.585,0.0598,0.488,0
Philippines,2018,24.5,36.07,0.337,8.29,211,69157.0,944912.0,1056.57,1.39,1363393.0,0.923,1.65,2.574,0.0134,0.487,0
Spain,2016,15.32,35.08,1.011,8.15,8970,16592.0,610536.0,1165.64,1.23,790908.0,2.217,2.602,4.819,0.1336,0.596,1
USA,2023,17.9,36.23,0.822,7.91,7985,48613.0,592852.0,2160.98,0.39,305948.0,5.439,8.132,13.571,0.1119,0.531,1
South Korea,2011,28.49,29.94,3.663,8.39,171,26250.0,957238.0,2195.79,1.24,1274682.0,1.014,2.738,3.752,0.0386,0.574,1
Indonesia,2016,19.81,32.63,13.433,7.97,1078,4811.0,65763.0,1265.83,0.57,50549.0,20.997,29.822,50.818,4.363,0.821,1
Peru,2018,20.5,34.51,0.413,7.97,9924,28970.0,1314296.0,1124.57,1.45,1959176.0,6.026,10.444,16.47,0.208,0.573,1
Vietnam,2020,19.62,36.19,0.88,8.0,6020,36614.0,1288492.0,1150.87,0.75,1029061.0,7.233,10.829,18.062,0.1975,0.633,1
Iceland,2023,34.27,34.83,2.574,8.38,8311,19282.0,494529.0,1925.3,1.15,581346.0,1.969,6.201,8.17,0.1021,0.589,1
Philippines,2018,22.63,35.46,0.381,7.93,3191,11719.0,568218.0,1120.62,1.51,910549.0,1.014,1.657,2.671,0.0865,0.604,1
South Korea,2022,26.31,37.2,1.066,7.97,1463,13842.0,270586.0,681.87,0.92,311238.0,2.96,5.004,7.964,0.2138,0.604,1
Morocco,2016,19.29,36.28,4.794,8.17,922,11908.0,159140.0,1519.7,0.63,144952.0,0.33,0.721,1.051,0.0277,0.677,1
Argentina,2015,17.59,34.91,0.719,8.03,15694,38452.0,1597788.0,771.28,1.36,2203455.0,1.068,0.805,1.874,0.0278,0.5,0
Thailand,2015,18.52,34.92,7.541,7.95,230,87808.0,1108576.0,876.05,1.54,1743665.0,1.364,1.497,2.86,0.0155,0.525,1
Indonesia,2022,25.66,37.6,1.114,8.27,1419,10685.0,162977.0,1580.62,0.65,143945.0,23.486,41.304,64.79,2.1979,0.745,1
Indonesia,2022,24.01,36.38,0.312,8.61,481,25700.0,466405.0,2473.18,0.46,272776.0,24.025,23.123,47.148,0.9348,0.594,1
Mexico,2018,20.72,38.28,4.486,8.17,278,12408.0,447448.0,869.4,1.47,672150.0,0.441,0.896,1.337,0.0355,0.676,1
Spain,2017,17.31,38.24,3.371,8.25,12207,51329.0,812893.0,1189.61,0.93,802834.0,1.249,1.593,2.842,0.0243,0.523,1
Japan,2011,20.08,33.25,1.038,8.05,2619,18416.0,281927.0,760.56,1.74,553175.0,2.465,2.054,4.518,0.1338,0.634,1
Thailand,2010,30.51,37.77,0.216,8.27,19886,38536.0,1329134.0,3158.58,1.14,1606235.0,0.898,1.883,2.78,0.0233,0.474,0
Chile,2021,27.86,33.7,0.616,8.04,5632,37154.0,1350497.0,823.16,2.09,2869935.0,4.568,4.079,8.648,0.123,0.533,1
Chile,2020,25.07,32.95,0.773,7.77,5425,42074.0,1670703.0,431.74,0.93,1571716.0,4.36,5.262,9.623,0.1036,0.619,1
Indonesia,2011,32.01,33.22,0.256,7.97,96,13500.0,554049.0,1497.09,1.7,959466.0,7.46,14.722,22.182,0.5525,0.54,1
Indonesia,2016,21.46,33.53,0.819,7.93,30133,133853.0,4886282.0,1254.02,0.99,4849980.0,21.035,12.488,33.523,0.1571,0.423,0
China,2017,13.87,32.19,0.575,8.19,1902,3234.0,90380.0,789.27,0.93,142889.0,46.637,98.635,145.272,14.4186,0.919,1
Thailand,2010,15.52,31.97,0.195,8.34,28058,26311.0,1005500.0,1895.79,1.15,1239651.0,0.368,1.121,1.489,0.014,0.498,0
Chile,2014,33.54,36.47,0.922,8.12,148,55068.0,1552350.0,1304.07,0.57,993167.0,2.091,2.388,4.479,0.038,0.516,1
South Korea,2013,25.06,32.89,0.536,8.48,2239,27376.0,1032224.0,1079.83,1.8,1928318.0,1.512,1.04,2.551,0.0552,0.584,1
Japan,2018,23.54,32.85,1.951,7.88,34430,10182.0,369745.0,1271.96,1.18,493155.0,4.134,6.155,10.289,0.406,0.692,1
South Korea,2018,28.12,36.39,0.894,8.25,9748,14892.0,372699.0,1789.69,0.8,370180.0,0.508,0.986,1.494,0.0341,0.596,1
Morocco,2021,14.69,37.13,9.451,8.04,2829,6711.0,239605.0,1281.82,1.2,370135.0,1.399,3.803,5.201,0.2084,0.618,1
Indonesia,2015,22.45,32.64,0.861,7.77,13817,2476.0,98720.0,1199.56,1.75,216976.0,19.987,13.139,33.127,8.0701,0.869,1
Mexico,2018,28.31,32.57,0.618,7.82,2584,32546.0,1006425.0,629.53,1.36,1419580.0,1.364,2.772,4.135,0.0419,0.561,1
Philippines,2013,23.58,34.87,1.096,8.36,1325,36811.0,802881.0,826.01,1.36,1137834.0,1.245,2.616,3.861,0.0338,0.627,1
Thailand,2017,25.98,35.49,9.492,8.37,5614,7636.0,186550.0,1392.39,1.25,289047.0,1.579,1.555,3.134,0.2067,0.688,1
Vietnam,2011,24.18,36.78,1.798,8.24,2064,7133.0,114980.0,1410.08,1.09,224902.0,3.834,4.765,8.599,0.5374,0.702,1
India,2021,12.54,32.35,2.123,7.99,3809,14259.0,483136.0,776.32,1.01,578147.0,10.067,24.001,34.067,0.7059,0.618,1
Norway,2016,23.95,37.41,1.976,8.05,969,52476.0,1879234.0,485.05,1.67,3167632.0,1.133,1.36,2.493,0.0216,0.596,1
Indonesia,2021,15.89,35.47,0.211,8.17,10407,3000.0,69953.0,1322.17,1.41,187460.0,21.102,31.08,52.182,7.0325,0.755,1
Japan,2015,17.05,36.26,0.401,8.12,32054,16207.0,387402.0,1892.5,1.38,563830.0,2.873,5.708,8.581,0.1772,0.523,1
Thailand,2010,20.42,39.64,1.482,8.14,1874,25173.0,1039184.0,1016.14,0.88,945462.0,1.23,1.021,2.25,0.0488,0.617,1
Chile,2010,16.48,30.69,1.475,8.6,2953,50944.0,2531241.0,904.68,1.34,3431046.0,2.302,3.648,5.951,0.0452,0.524,1
Russia,2012,27.83,33.99,0.79,7.86,1755,7812.0,382982.0,2114.42,1.53,643835.0,2.559,5.448,8.007,0.3275,0.619,1
Vietnam,2023,23.43,34.77,1.666,8.3,2722,7695.0,232725.0,1038.97,1.18,316226.0,9.547,17.62,27.167,1.2405,0.722,1
Ecuador,2011,23.51,35.1,0.794,7.84,286,5818.0,107466.0,1260.37,1.69,229830.0,0.688,0.698,1.387,0.1183,0.692,1
Morocco,2018,20.16,33.59,1.353,7.97,3051,10628.0,530007.0,1364.4,1.56,894315.0,0.778,0.951,1.729,0.0732,0.681,1
Peru,2013,14.58,32.45,3.84,7.71,171026,14673.0,712440.0,613.3,1.03,775913.0,3.081,7.828,10.909,0.21,0.602,1
Philippines,2016,14.61,35.37,0.985,8.22,3566,8324.0,234537.0,603.94,1.19,351988.0,0.467,0.787,1.255,0.0561,0.61,1
Ecuador,2022,17.69,35.57,1.23,8.33,554,4451.0,194215.0,894.83,1.85,396638.0,1.929,3.373,5.302,0.4333,0.629,1
Japan,2010,22.16,33.49,1.584,7.96,61088,25249.0,294576.0,1234.57,1.06,347248.0,1.837,2.266,4.103,0.0728,0.652,1
Mexico,2012,28.49,34.1,0.647,8.16,1030,10080.0,109243.0,1702.4,1.5,198599.0,0.95,1.519,2.469,0.0942,0.608,1
Iceland,2012,28.64,36.11,1.578,8.53,1135,55706.0,2740661.0,2270.62,1.74,4833067.0,0.359,0.404,0.762,0.0064,0.514,1
Mexico,2010,24.97,33.81,0.278,7.75,160,39318.0,771726.0,1180.68,1.13,919311.0,1.303,2.154,3.457,0.0331,0.547,1
India,2019,21.16,35.57,0.78,8.42,6225,45930.0,1885797.0,652.36,1.35,2603992.0,15.627,9.632,25.259,0.3402,0.542,1
Iceland,2011,22.15,36.63,1.782,8.11,318,36114.0,1144443.0,1574.68,1.27,1558023.0,0.419,0.648,1.067,0.0116,0.628,1
USA,2021,18.89,35.96,0.778,8.1,10328,8719.0,433105.0,987.81,0.94,447606.0,5.366,8.631,13.997,0.6153,0.701,1
USA,2020,24.94,37.39,0.543,8.07,3047,10048.0,485536.0,1516.47,0.77,399330.0,4.298,5.371,9.668,0.4277,0.693,1
Morocco,2014,29.82,32.5,0.508,8.23,5382,9182.0,92508.0,900.55,1.08,120689.0,0.457,0.765,1.223,0.0498,0.608,1
India,2017,13.69,36.47,0.37,8.1,1096,109767.0,1198366.0,2395.22,1.53,1851584.0,5.728,18.967,24.696,0.0522,0.352,0
Thailand,2023,24.77,34.01,0.1,8.17,5124,12344.0,239896.0,819.49,1.15,337904.0,2.973,3.622,6.595,0.2408,0.608,1
China,2010,25.49,32.34,0.984,8.27,11087,31450.0,522447.0,1123.65,1.42,822980.0,41.384,63.876,105.259,1.3158,0.677,1
South Korea,2012,19.67,31.81,1.671,7.99,515,1246.0,19113.0,1215.42,1.09,13340.0,1.868,2.887,4.755,1.498,0.742,1
Malaysia,2021,21.2,36.46,0.84,8.04,2900,53441.0,2618247.0,775.63,0.88,2313297.0,0.99,0.891,1.881,0.0185,0.574,1
Chile,2022,22.65,34.02,0.143,8.26,14863,10634.0,143106.0,1625.36,0.93,162207.0,4.058,5.242,9.3,0.3816,0.615,1
Thailand,2017,22.69,36.59,0.285,8.16,389,35117.0,1205943.0,1077.26,0.96,1198354.0,0.673,0.946,1.619,0.0192,0.555,1
Philippines,2018,27.09,40.33,0.744,8.13,5267,134794.0,1788587.0,641.58,0.32,637509.0,2.328,2.874,5.202,0.0173,0.426,0
USA,2015,26.52,34.4,1.25,8.11,2885,21729.0,512608.0,2272.6,1.24,706200.0,4.138,6.271,10.408,0.1904,0.587,1
Mexico,2017,17.13,35.92,4.868,8.18,46299,165871.0,2283394.0,577.4,0.92,2183866.0,0.658,0.88,1.538,0.004,0.425,0
Iceland,2020,19.68,31.34,1.222,8.17,23216,72269.0,1867337.0,1434.21,1.22,2345872.0,2.105,3.889,5.994,0.0291,0.556,1
Thailand,2011,20.33,34.19,0.385,8.18,65761,7574.0,101025.0,1206.84,1.27,188968.0,0.55,1.406,1.956,0.0726,0.612,1
South Korea,2011,22.03,34.63,2.68,8.34,144979,39326.0,518166.0,1290.65,0.96,558533.0,0.575,0.885,1.46,0.0146,0.622,1
Iceland,2015,20.48,31.09,0.848,8.36,2599,2345.0,101131.0,665.37,1.05,172855.0,1.434,1.684,3.118,0.6113,0.714,1
Ecuador,2011,24.73,38.23,0.724,8.34,29201,59773.0,1724543.0,883.76,1.21,2141796.0,0.641,1.182,1.822,0.0107,0.581,1
Indonesia,2012,19.99,36.05,0.601,8.26,23477,60630.0,1849592.0,665.03,1.0,1903723.0,15.849,23.296,39.145,0.2614,0.587,1
India,2021,22.9,35.82,0.786,8.23,51525,19290.0,548126.0,673.67,1.24,752920.0,13.997,28.945,42.942,0.7255,0.683,1
Malaysia,2020,20.89,35.84,0.647,8.25,3999,30242.0,1276090.0,686.96,1.53,1986332.0,1.788,1.271,3.06,0.0591,0.583,1
Russia,2014,26.04,34.55,0.705,8.1,1891,49018.0,1072979.0,488.75,1.52,1658320.0,2.867,6.547,9.414,0.0585,0.529,1
Japan,2011,26.51,35.43,2.084,7.97,3376,13807.0,687807.0,1135.72,1.55,1096565.0,1.843,4.135,5.977,0.1334,0.601,1
Vietnam,2012,23.19,35.38,2.721,7.56,8240,11452.0,469021.0,439.08,1.47,742063.0,4.691,7.085,11.777,0.4096,0.689,1
Morocco,2015,16.93,36.57,0.381,8.11,2028,1993.0,71915.0,1166.31,1.37,149067.0,1.251,1.13,2.381,0.6276,0.545,1
Iceland,2010,30.48,36.61,1.229,8.06,273,5351.0,186756.0,299.89,0.44,104065.0,0.208,0.436,0.644,0.0388,0.615,1
Russia,2010,20.45,33.5,1.376,8.37,178,24712.0,1168119.0,742.8,1.14,1365917.0,2.345,3.358,5.703,0.0949,0.653,1
Chile,2016,23.34,34.2,0.521,7.82,183,50582.0,1950504.0,1001.51,0.73,1483270.0,3.614,6.208,9.823,0.0715,0.601,1
Peru,2017,20.12,36.15,2.934,8.22,1090,28779.0,974257.0,1736.93,1.23,1218916.0,6.545,7.241,13.785,0.2274,0.649,1
Chile,2019,17.52,34.8,1.019,8.24,4229,57133.0,2225839.0,1265.93,1.22,2745075.0,3.256,2.593,5.849,0.057,0.472,0
Thailand,2012,21.07,33.46,0.84,7.8,14355,15750.0,411959.0,1141.99,0.96,450111.0,0.867,1.147,2.014,0.055,0.67,1
India,2021,27.26,34.28,1.261,8.05,2664,39216.0,1194802.0,331.67,1.33,1624030.0,12.023,24.733,36.757,0.3066,0.556,1
Mexico,2013,10.25,35.67,1.547,8.37,18642,24616.0,817486.0,686.02,1.24,1043479.0,0.516,0.829,1.345,0.0209,0.576,1
Norway,2020,22.49,31.39,0.701,8.08,4202,27989.0,1205450.0,1723.24,1.17,1466690.0,0.859,1.009,1.867,0.0307,0.645,1
Vietnam,2014,30.66,39.46,1.893,8.2,200,12802.0,260812.0,583.63,0.94,296513.0,3.681,8.067,11.748,0.2875,0.608,1
India,2022,24.47,29.94,0.751,8.32,56247,6441.0,166215.0,1405.78,1.19,236601.0,15.665,14.943,30.608,2.4317,0.751,1
Indonesia,2020,19.27,34.9,1.387,8.43,3797,14842.0,425533.0,1106.98,1.4,648437.0,22.926,24.608,47.534,1.5446,0.717,1
Vietnam,2015,20.27,31.37,6.934,8.25,3948,86049.0,3939167.0,723.61,0.54,2143361.0,6.245,8.731,14.976,0.0726,0.53,1
USA,2022,16.88,33.41,0.332,7.93,8813,9299.0,376640.0,1140.82,1.52,652466.0,4.963,6.112,11.074,0.5336,0.547,1
India,2017,28.54,34.75,0.7,7.98,3959,35127.0,1593957.0,1398.26,1.01,1672900.0,7.994,19.407,27.401,0.2276,0.562,1
Malaysia,2013,21.04,33.9,1.113,8.07,3119,40482.0,889896.0,1097.29,0.95,912923.0,0.809,0.754,1.563,0.02,0.606,1
South Korea,2017,26.69,33.46,0.391,8.27,2228,16907.0,321930.0,402.65,1.22,444398.0,0.877,1.204,2.081,0.0519,0.518,1
Spain,2016,32.94,32.42,0.523,8.14,567,48155.0,1856770.0,1391.56,1.35,2580891.0,0.844,2.391,3.235,0.0175,0.529,1
Iceland,2021,35.8,33.61,0.664,8.0,3746,9678.0,96829.0,1920.84,1.01,148313.0,1.166,2.943,4.109,0.1204,0.609,1
Iceland,2017,26.13,33.27,0.518,8.04,395,9708.0,424337.0,1833.0,1.0,471521.0,0.504,0.507,1.011,0.0519,0.607,1
Thailand,2012,26.72,34.87,7.255,8.41,406,37132.0,1361102.0,729.09,1.23,1723470.0,0.399,0.35,0.749,0.0107,0.527,1
Morocco,2012,21.3,34.1,1.001,8.22,341,2217.0,40690.0,543.33,0.78,106239.0,1.444,1.202,2.646,0.6509,0.682,1
Chile,2015,20.4,34.45,1.441,8.29,32970,10488.0,378258.0,889.82,0.94,427732.0,3.174,3.581,6.754,0.3026,0.688,1
Japan,2015,20.36,36.21,0.58,8.07,3169,8085.0,167397.0,511.5,0.86,189577.0,2.885,4.124,7.009,0.3568,0.695,1
Ecuador,2017,8.81,37.82,0.576,7.76,1821,14158.0,626988.0,927.01,0.97,661555.0,1.311,2.274,3.585,0.0926,0.599,1
Peru,2015,15.97,32.44,0.429,8.25,12500,150092.0,4911552.0,1473.67,1.8,8885020.0,4.279,9.308,13.587,0.0285,0.351,0
Japan,2022,25.84,34.21,0.836,7.95,901,117182.0,3392697.0,1039.21,1.21,4147109.0,5.214,3.377,8.591,0.0445,0.431,0
Chile,2010,20.12,34.36,3.603,8.21,562,28184.0,1196263.0,573.03,1.67,2028464.0,1.876,3.78,5.656,0.0666,0.646,1
Mexico,2018,26.24,35.9,1.22,7.79,2911,19916.0,439671.0,835.53,0.99,510457.0,2.362,3.904,6.267,0.1186,0.589,1
Russia,2015,23.41,38.14,0.844,7.84,15226,26419.0,772844.0,1275.14,1.41,1089407.0,3.989,3.044,7.033,0.151,0.604,1
Vietnam,2012,24.99,36.09,0.893,7.8,3574,50173.0,855137.0,1053.34,0.95,891516.0,5.181,5.729,10.91,0.1033,0.603,1
Argentina,2011,27.25,34.36,0.482,8.31,2076,4695.0,193706.0,1277.94,1.52,353005.0,1.221,2.251,3.471,0.2599,0.548,1
Norway,2014,24.73,36.76,0.636,8.01,4441,14232.0,416094.0,1060.96,0.96,456709.0,0.676,0.884,1.56,0.0475,0.673,1
Indonesia,2012,7.49,39.0,0.481,8.15,231,14436.0,503540.0,436.96,1.68,881404.0,9.139,11.926,21.065,0.633,0.54,1
South Korea,2018,25.73,31.92,7.267,8.21,155023,9847.0,237522.0,1770.37,1.14,339983.0,2.879,3.37,6.249,0.2923,0.689,1
Mexico,2011,15.74,35.73,2.428,8.02,59,26875.0,1140440.0,863.26,1.49,1766939.0,0.591,0.483,1.074,0.022,0.536,1
Spain,2016,25.7,35.74,0.836,8.29,108,248303.0,3092178.0,1683.93,1.61,5011678.0,0.432,0.46,0.892,0.0017,0.5,1
Ecuador,2012,27.53,33.19,0.338,8.46,7234,89041.0,4081768.0,824.41,1.42,5834863.0,1.215,3.247,4.462,0.0136,0.372,0
Vietnam,2016,20.12,35.51,4.802,8.03,628,98456.0,1065973.0,852.12,1.24,1336798.0,5.808,9.629,15.438,0.059,0.505,1
Spain,2013,17.38,35.66,4.292,8.16,836,37752.0,1845975.0,600.11,1.15,2159441.0,1.587,3.363,4.95,0.042,0.551,1
Spain,2011,23.1,33.88,0.333,8.19,9589,34814.0,1667017.0,2533.22,0.48,853034.0,0.958,2.375,3.333,0.0275,0.556,1
Vietnam,2011,20.0,35.6,1.626,8.35,3232,409772.0,15672839.0,3445.77,1.78,27884985.0,4.369,3.628,7.997,0.0107,0.466,0
Argentina,2023,18.73,33.01,0.756,7.88,653,32099.0,1343889.0,1644.07,1.41,1910940.0,2.226,3.846,6.072,0.0694,0.638,1
Morocco,2012,20.15,35.29,0.169,8.18,636,5695.0,198478.0,2016.01,0.94,222759.0,0.283,0.333,0.617,0.0498,0.615,1
Argentina,2018,21.24,34.14,0.849,8.21,2367,88191.0,3112365.0,1945.57,1.09,3422398.0,2.192,1.597,3.79,0.0249,0.47,0
Iceland,2019,21.86,34.47,1.474,8.11,400,27982.0,931459.0,1150.71,0.77,767747.0,2.665,4.378,7.043,0.0952,0.647,1
